epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_agreement_with_pos	routing_hungarian_acc	routing_ami	val_perplexity	nats_below_bigram_floor	depth_rho_model_loss	depth_logfreq_partial_norm
1	4.556063	4.140601	0.2048	1.00	0.0357	0.0681	0.2446	0.3088	0.0489	62.8406	+0.844346	N/A	N/A
2	4.201484	4.048186	0.4645	1.00	0.0294	0.0598	0.2057	0.3617	0.0986	57.2934	+0.936761	N/A	N/A
3	4.123087	3.986110	0.5554	1.00	0.0277	0.0587	0.1610	0.4134	0.1533	53.8450	+0.998837	N/A	N/A
