metric,architecture,mean,std,n_numeric,n_na,n_bool
expert_load/expert_3_pct,more,16.82880566,3.272761988,5,0,0
expert_load/expert_4_pct,moe,17.44789466,4.795515999,5,0,0
expert_load/expert_4_pct,mor,N/A,N/A,0,5,0
expert_load/expert_4_pct,more,16.68806434,3.298535471,5,0,0
expert_load/expert_5_pct,moe,16.37353539,2.445203401,5,0,0
expert_load/expert_5_pct,mor,N/A,N/A,0,5,0
expert_load/expert_5_pct,more,18.32409695,5.312716187,5,0,0
halt/early_exit_rate,moe,N/A,N/A,0,5,0
halt/early_exit_rate,mor,0.9997594119,0.0005379713557,5,0,0
halt/early_exit_rate,more,0.9998217866,0.0002273094412,5,0,0
halt/early_exits,moe,0,0,5,0,0
halt/early_exits,mor,224396,120.7476708,5,0,0
halt/early_exits,more,224410,51.01960408,5,0,0
halt/forced_exit_rate,moe,N/A,N/A,0,5,0
halt/forced_exit_rate,mor,0.0002405881043,0.0005379713557,5,0,0
halt/forced_exit_rate,more,0.0001782134106,0.0002273094412,5,0,0
halt/forced_exits,moe,224450,0,5,0,0
halt/forced_exits,mor,54,120.7476708,5,0,0
halt/forced_exits,more,40,51.01960408,5,0,0
halt/mean_halt_mass,moe,N/A,N/A,0,5,0
halt/mean_halt_mass,mor,0.9999999934,2.786835421e-09,5,0,0
halt/mean_halt_mass,more,0.9999999934,2.786835421e-09,5,0,0
halt/mean_remainder,moe,N/A,N/A,0,5,0
halt/mean_remainder,mor,0.1418264067,0.03272543753,5,0,0
halt/mean_remainder,more,0.2848991005,0.03557101891,5,0,0
halting_mode,moe,N/A,N/A,0,5,0
halting_mode,mor,N/A,N/A,0,5,0
halting_mode,more,N/A,N/A,0,5,0
num_experts,moe,6,0,5,0,0
num_experts,mor,1,0,5,0,0
num_experts,more,6,0,5,0,0
perf/throughput_tokens_sec,moe,8485.373667,362.4175028,5,0,0
perf/throughput_tokens_sec,mor,4574.256095,712.6732994,5,0,0
perf/throughput_tokens_sec,more,2225.048399,274.4375359,5,0,0
prov/total_params,moe,3201555,0,5,0,0
prov/total_params,mor,3197710,0,5,0,0
prov/total_params,more,3201555,0,5,0,0
recursion/avg_depth_by_family/E1_ADD_SUB,moe,1,0,5,0,0
recursion/avg_depth_by_family/E1_ADD_SUB,mor,2.051528822,0.02814927987,5,0,0
recursion/avg_depth_by_family/E1_ADD_SUB,more,2.354586466,0.5966952327,5,0,0
recursion/avg_depth_by_family/E2_MULT_DIV,moe,1,0,5,0,0
recursion/avg_depth_by_family/E2_MULT_DIV,mor,2.002143131,0.01300229269,5,0,0
recursion/avg_depth_by_family/E2_MULT_DIV,more,1.933716035,0.2110139155,5,0,0
recursion/avg_depth_by_family/E3_MOD_POW,moe,1,0,5,0,0
recursion/avg_depth_by_family/E3_MOD_POW,mor,1.991375546,0.01915989406,5,0,0
recursion/avg_depth_by_family/E3_MOD_POW,more,2.012772926,0.01659626541,5,0,0
recursion/avg_depth_by_family/E4_LOGIC,moe,1,0,5,0,0
recursion/avg_depth_by_family/E4_LOGIC,mor,2.039052241,0.01829612934,5,0,0
recursion/avg_depth_by_family/E4_LOGIC,more,2.046588638,0.1384329471,5,0,0
recursion/avg_depth_by_family/E5_SHIFT,moe,1,0,5,0,0
recursion/avg_depth_by_family/E5_SHIFT,mor,1.926708677,0.2107140097,5,0,0
recursion/avg_depth_by_family/E5_SHIFT,more,2.009015996,0.04154232119,5,0,0
recursion/avg_depth_by_family/E6_SORT_STAT,moe,1,0,5,0,0
recursion/avg_depth_by_family/E6_SORT_STAT,mor,2.016186511,0.005709988681,5,0,0
recursion/avg_depth_by_family/E6_SORT_STAT,more,2.060316403,0.05161900009,5,0,0
recursion/avg_depth_by_op/ADD,moe,1,0,5,0,0
recursion/avg_depth_by_op/ADD,mor,2.054676259,0.0259839722,5,0,0
recursion/avg_depth_by_op/ADD,more,2.118396711,0.2280728145,5,0,0
recursion/avg_depth_by_op/AND,moe,1,0,5,0,0
recursion/avg_depth_by_op/AND,mor,2.036210526,0.02574754917,5,0,0
recursion/avg_depth_by_op/AND,more,2.085263158,0.05773182821,5,0,0
recursion/avg_depth_by_op/DIV,moe,1,0,5,0,0
