epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_agreement_with_pos	routing_hungarian_acc	routing_ami	val_perplexity	nats_below_bigram_floor	depth_rho_model_loss	depth_logfreq_partial_norm
1	6.729489	N/A	0.8593	1.69	0.0060	0.0129	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2	5.471589	5.371416	0.7338	2.16	0.0094	0.0161	0.2718	0.2956	0.0118	215.1674	+0.026888	0.178596	0.361923
3	5.119418	N/A	0.8310	2.68	0.0124	0.0221	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4	4.931757	5.107575	0.8671	3.05	0.0123	0.0227	0.2727	0.2975	0.0160	165.2690	+0.290729	0.146685	0.405770
