epoch	train_task_loss	val_loss	expert_entropy_normalized	avg_depth	mean_cos_sim	max_cos_sim	routing_agreement_with_pos	routing_hungarian_acc	routing_ami	val_perplexity	nats_below_bigram_floor	depth_rho_model_loss	depth_logfreq_partial_norm
1	6.858615	5.900363	0.9997	2.01	0.0043	0.0113	0.1056	0.3204	0.1441	365.1700	-0.502059	0.011599	-0.147910
2	5.534168	5.458567	0.9993	2.00	0.0055	0.0094	0.0979	0.3550	0.1771	234.7608	-0.060263	0.120248	-0.232483
3	5.212874	5.345762	0.9994	2.14	0.0063	0.0109	0.1001	0.3577	0.1807	209.7177	+0.052542	0.152995	-0.054278
