Router gradient norm: 0.342281 | Noise scales: ['0.0677', '0.0765']
Router gradient norm: 0.385575 | Noise scales: ['0.0676', '0.0762']
Router gradient norm: 0.598042 | Noise scales: ['0.0674', '0.0760']
Router gradient norm: 0.469488 | Noise scales: ['0.0672', '0.0758']
Router gradient norm: 0.401631 | Noise scales: ['0.0671', '0.0755']
Router gradient norm: 0.264209 | Noise scales: ['0.0669', '0.0753']
Router gradient norm: 0.305662 | Noise scales: ['0.0668', '0.0751']
Router gradient norm: 0.314213 | Noise scales: ['0.0667', '0.0750']
Router gradient norm: 0.336733 | Noise scales: ['0.0666', '0.0748']
Router gradient norm: 0.317648 | Noise scales: ['0.0665', '0.0747']
Router gradient norm: 0.349860 | Noise scales: ['0.0664', '0.0746']
Router gradient norm: 0.295337 | Noise scales: ['0.0663', '0.0745']
Router gradient norm: 0.265719 | Noise scales: ['0.0662', '0.0744']
Router gradient norm: 0.274325 | Noise scales: ['0.0661', '0.0743']
Router gradient norm: 0.215009 | Noise scales: ['0.0660', '0.0743']
Router gradient norm: 0.361124 | Noise scales: ['0.0659', '0.0742']
Router gradient norm: 0.263080 | Noise scales: ['0.0658', '0.0742']
Router gradient norm: 0.159137 | Noise scales: ['0.0657', '0.0741']
Router gradient norm: 0.285886 | Noise scales: ['0.0656', '0.0741']
Router gradient norm: 0.389361 | Noise scales: ['0.0655', '0.0740']
Router gradient norm: 0.246779 | Noise scales: ['0.0654', '0.0739']
Router gradient norm: 0.217682 | Noise scales: ['0.0654', '0.0738']
Router gradient norm: 0.184689 | Noise scales: ['0.0653', '0.0736']
Router gradient norm: 0.254811 | Noise scales: ['0.0652', '0.0735']
Router gradient norm: 0.261467 | Noise scales: ['0.0651', '0.0733']
Router gradient norm: 0.168259 | Noise scales: ['0.0651', '0.0731']
Router gradient norm: 0.113126 | Noise scales: ['0.0650', '0.0729']
Router gradient norm: 0.228992 | Noise scales: ['0.0649', '0.0727']
Router gradient norm: 0.170543 | Noise scales: ['0.0649', '0.0724']
Router gradient norm: 0.195917 | Noise scales: ['0.0648', '0.0722']
Router gradient norm: 0.119742 | Noise scales: ['0.0648', '0.0720']
Router gradient norm: 0.175589 | Noise scales: ['0.0647', '0.0718']
Router gradient norm: 0.127347 | Noise scales: ['0.0646', '0.0716']
Router gradient norm: 0.187238 | Noise scales: ['0.0646', '0.0713']
Router gradient norm: 0.112481 | Noise scales: ['0.0645', '0.0711']
Router gradient norm: 0.138231 | Noise scales: ['0.0644', '0.0709']
Router gradient norm: 0.194590 | Noise scales: ['0.0643', '0.0708']
Router gradient norm: 0.140601 | Noise scales: ['0.0642', '0.0706']
Router gradient norm: 0.178623 | Noise scales: ['0.0642', '0.0704']
Router gradient norm: 0.120007 | Noise scales: ['0.0641', '0.0703']
Router gradient norm: 0.168069 | Noise scales: ['0.0640', '0.0701']
Router gradient norm: 0.168914 | Noise scales: ['0.0639', '0.0699']
Router gradient norm: 0.165660 | Noise scales: ['0.0638', '0.0698']
Router gradient norm: 0.144274 | Noise scales: ['0.0638', '0.0696']
Router gradient norm: 0.155643 | Noise scales: ['0.0637', '0.0694']
Router gradient norm: 0.085979 | Noise scales: ['0.0636', '0.0692']
Router gradient norm: 0.140929 | Noise scales: ['0.0635', '0.0690']
Router gradient norm: 0.157052 | Noise scales: ['0.0635', '0.0688']
Router gradient norm: 0.154975 | Noise scales: ['0.0634', '0.0687']
Router gradient norm: 0.175717 | Noise scales: ['0.0633', '0.0685']
Router gradient norm: 0.159380 | Noise scales: ['0.0632', '0.0683']
Router gradient norm: 0.135729 | Noise scales: ['0.0631', '0.0681']
Router gradient norm: 0.134730 | Noise scales: ['0.0630', '0.0679']
Router gradient norm: 0.178707 | Noise scales: ['0.0629', '0.0677']
Router gradient norm: 0.173406 | Noise scales: ['0.0628', '0.0675']
Router gradient norm: 0.127428 | Noise scales: ['0.0627', '0.0673']
Router gradient norm: 0.130303 | Noise scales: ['0.0627', '0.0672']
Router gradient norm: 0.189984 | Noise scales: ['0.0626', '0.0670']
Router gradient norm: 0.140175 | Noise scales: ['0.0625', '0.0668']
Router gradient norm: 0.096180 | Noise scales: ['0.0624', '0.0666']
Router gradient norm: 0.099656 | Noise scales: ['0.0624', '0.0664']
Router gradient norm: 0.088921 | Noise scales: ['0.0623', '0.0661']
Router gradient norm: 0.124473 | Noise scales: ['0.0622', '0.0659']
Router gradient norm: 0.124899 | Noise scales: ['0.0622', '0.0657']
Router gradient norm: 0.096695 | Noise scales: ['0.0621', '0.0655']
Router gradient norm: 0.071168 | Noise scales: ['0.0620', '0.0653']
Router gradient norm: 0.142951 | Noise scales: ['0.0620', '0.0651']
[Epoch 002/2] task=0.0225  step_route=0.0450  bal=-9.2147  halt=0.0222  val=0.0158  route_acc=0.1463  entropy=1.936  cos=0.008  tok/s=2734

[Train] Complete. Best val_loss = 0.015751
