metric,architecture,mean,std,n_numeric,n_na,n_bool
depth/hist/step_2,more,827.8,124.1257427,5,0,0
depth/hist/step_3,moe,N/A,N/A,0,5,0
depth/hist/step_3,mor,5384.2,7582.887788,5,0,0
depth/hist/step_3,more,275,122.7212288,5,0,0
depth/hist/step_4,moe,N/A,N/A,0,5,0
depth/hist/step_4,mor,8566.4,11374.92762,5,0,0
depth/hist/step_4,more,85.2,57.48652016,5,0,0
depth/hist/step_5,moe,N/A,N/A,0,5,0
depth/hist/step_5,mor,13380.8,14225.56641,5,0,0
depth/hist/step_5,more,132.8,97.5176907,5,0,0
depth/hist/step_6,moe,N/A,N/A,0,5,0
depth/hist/step_6,mor,28842,22517.8566,5,0,0
depth/hist/step_6,more,1698,549.6885482,5,0,0
depth/hist/step_7,moe,N/A,N/A,0,5,0
depth/hist/step_7,mor,222919.4,57096.61601,5,0,0
depth/hist/step_7,more,276586.8,809.9723452,5,0,0
depth/mean,moe,N/A,N/A,0,5,0
depth/mean,mor,6.616680596,0.439311202,5,0,0
depth/mean,more,6.965125183,0.01187051762,5,0,0
depth/mean_by_family/L1_FUNCTION,moe,N/A,N/A,0,5,0
depth/mean_by_family/L1_FUNCTION,mor,6.825731326,0.2418936653,5,0,0
depth/mean_by_family/L1_FUNCTION,more,6.963958626,0.01174253114,5,0,0
depth/mean_by_family/L2_NOUN,moe,N/A,N/A,0,5,0
depth/mean_by_family/L2_NOUN,mor,6.438554361,0.6345442741,5,0,0
depth/mean_by_family/L2_NOUN,more,6.966341773,0.0127876769,5,0,0
depth/mean_by_family/L3_VERB,moe,N/A,N/A,0,5,0
depth/mean_by_family/L3_VERB,mor,6.768802709,0.3316823123,5,0,0
depth/mean_by_family/L3_VERB,more,6.969455217,0.01200380393,5,0,0
depth/mean_by_family/L4_MODIFIER,moe,N/A,N/A,0,5,0
depth/mean_by_family/L4_MODIFIER,mor,6.616751297,0.4879302272,5,0,0
depth/mean_by_family/L4_MODIFIER,more,6.964287707,0.01351730813,5,0,0
depth/mean_by_family/L5_PUNCT_SYM,moe,N/A,N/A,0,5,0
depth/mean_by_family/L5_PUNCT_SYM,mor,6.792130741,0.2462141508,5,0,0
depth/mean_by_family/L5_PUNCT_SYM,more,6.972130741,0.01095762533,5,0,0
depth/mean_by_family/L6_NUM_SUBWORD,moe,N/A,N/A,0,5,0
depth/mean_by_family/L6_NUM_SUBWORD,mor,6.495818012,0.5335151279,5,0,0
depth/mean_by_family/L6_NUM_SUBWORD,more,6.961427893,0.01238939502,5,0,0
depth/n_tokens,moe,N/A,N/A,0,5,0
depth/n_tokens,mor,279990,0,5,0,0
depth/n_tokens,more,279990,0,5,0,0
depth/spearman_vs_logfreq,moe,N/A,N/A,0,5,0
depth/spearman_vs_logfreq,mor,0.2108318797,0.06345570355,5,0,0
depth/spearman_vs_logfreq,more,-0.006792075561,0.006114837003,5,0,0
depth/spearman_vs_logfreq_exceeds_null,moe,N/A,N/A,0,5,0
depth/spearman_vs_logfreq_exceeds_null,mor,1,0,5,0,0
depth/spearman_vs_logfreq_exceeds_null,more,0.8,0.4472135955,5,0,0
depth/spearman_vs_logfreq_null_high,moe,N/A,N/A,0,5,0
depth/spearman_vs_logfreq_null_high,mor,0.003742197968,0.0005450618009,5,0,0
depth/spearman_vs_logfreq_null_high,more,0.003356908441,0.0002514863252,5,0,0
depth/spearman_vs_logfreq_null_low,moe,N/A,N/A,0,5,0
depth/spearman_vs_logfreq_null_low,mor,-0.003840534629,0.0003433513805,5,0,0
depth/spearman_vs_logfreq_null_low,more,-0.003472769492,0.0003624234521,5,0,0
depth/spearman_vs_logfreq_null_mean,moe,N/A,N/A,0,5,0
depth/spearman_vs_logfreq_null_mean,mor,5.557998972e-05,6.441500901e-05,5,0,0
depth/spearman_vs_logfreq_null_mean,more,-0.0001015276112,0.0001335931708,5,0,0
depth/spearman_vs_model_loss,moe,N/A,N/A,0,5,0
depth/spearman_vs_model_loss,mor,0.2953476415,0.05532775841,5,0,0
depth/spearman_vs_model_loss,more,-0.01539467765,0.01860272421,5,0,0
depth/spearman_vs_model_loss_exceeds_null,moe,N/A,N/A,0,5,0
depth/spearman_vs_model_loss_exceeds_null,mor,1,0,5,0,0
depth/spearman_vs_model_loss_exceeds_null,more,0.6,0.5477225575,5,0,0
depth/spearman_vs_model_loss_null_high,moe,N/A,N/A,0,5,0
depth/spearman_vs_model_loss_null_high,mor,0.003745002236,0.0002056873786,5,0,0
depth/spearman_vs_model_loss_null_high,more,0.004040238582,0.0001044609094,5,0,0
depth/spearman_vs_model_loss_null_low,moe,N/A,N/A,0,5,0
depth/spearman_vs_model_loss_null_low,mor,-0.003662454686,0.0003143626762,5,0,0
depth/spearman_vs_model_loss_null_low,more,-0.003402041339,0.0003918434818,5,0,0
depth/spearman_vs_model_loss_null_mean,moe,N/A,N/A,0,5,0
depth/spearman_vs_model_loss_null_mean,mor,5.374902815e-05,0.0001633814343,5,0,0
depth/spearman_vs_model_loss_null_mean,more,4.626144397e-05,0.0001582086558,5,0,0
depth/spearman_vs_unigram_surprisal,moe,N/A,N/A,0,5,0
depth/spearman_vs_unigram_surprisal,mor,-0.2108318797,0.06345570355,5,0,0
depth/spearman_vs_unigram_surprisal,more,0.006792075561,0.006114837003,5,0,0
depth/spearman_vs_unigram_surprisal_exceeds_null,moe,N/A,N/A,0,5,0
depth/spearman_vs_unigram_surprisal_exceeds_null,mor,1,0,5,0,0
depth/spearman_vs_unigram_surprisal_exceeds_null,more,0.8,0.4472135955,5,0,0
depth/spearman_vs_unigram_surprisal_null_high,moe,N/A,N/A,0,5,0
depth/spearman_vs_unigram_surprisal_null_high,mor,0.003695220406,0.0004761367462,5,0,0
depth/spearman_vs_unigram_surprisal_null_high,more,0.003917145638,0.0003471527652,5,0,0
depth/spearman_vs_unigram_surprisal_null_low,moe,N/A,N/A,0,5,0
depth/spearman_vs_unigram_surprisal_null_low,mor,-0.003723971552,0.0002890775212,5,0,0
depth/spearman_vs_unigram_surprisal_null_low,more,-0.003798746053,0.0004332709746,5,0,0
depth/spearman_vs_unigram_surprisal_null_mean,moe,N/A,N/A,0,5,0
depth/spearman_vs_unigram_surprisal_null_mean,mor,-1.747538952e-06,6.028019425e-05,5,0,0
depth/spearman_vs_unigram_surprisal_null_mean,more,8.711555267e-05,0.0001804457128,5,0,0
depth/std,moe,N/A,N/A,0,5,0
depth/std,mor,0.7038592698,0.4480133941,5,0,0
depth/std,more,0.3780001871,0.08321721413,5,0,0
depth_dist/step_1_pct,moe,100,0,5,0,0
depth_dist/step_1_pct,mor,0,0,5,0,0
depth_dist/step_1_pct,more,0.3111649927,0.3039659148,5,0,0
depth_dist/step_2_pct,moe,N/A,N/A,0,5,0
depth_dist/step_2_pct,mor,0.69892345,0.6003035507,5,0,0
depth_dist/step_2_pct,more,0.5011851573,0.173422612,5,0,0
depth_dist/step_3_pct,moe,N/A,N/A,0,5,0
depth_dist/step_3_pct,mor,2.054750692,3.149505375,5,0,0
depth_dist/step_3_pct,more,0.09547295747,0.03313277085,5,0,0
depth_dist/step_4_pct,moe,N/A,N/A,0,5,0
depth_dist/step_4_pct,mor,3.806072492,5.426896277,5,0,0
depth_dist/step_4_pct,more,0.06374614779,0.01955378621,5,0,0
depth_dist/step_5_pct,moe,N/A,N/A,0,5,0
depth_dist/step_5_pct,mor,6.936019082,8.909549699,5,0,0
depth_dist/step_5_pct,more,0.09976098198,0.04405347282,5,0,0
depth_dist/step_6_pct,moe,N/A,N/A,0,5,0
depth_dist/step_6_pct,mor,13.22704129,11.56803092,5,0,0
depth_dist/step_6_pct,more,0.8707195614,0.2498827933,5,0,0
depth_dist/step_7_pct,moe,N/A,N/A,0,5,0
depth_dist/step_7_pct,mor,73.27719241,29.61305751,5,0,0
depth_dist/step_7_pct,more,98.05795431,0.3033592727,5,0,0
diag/max_pairwise_cosine_sim,moe,0.05454377457,0.007514853852,5,0,0
diag/max_pairwise_cosine_sim,mor,N/A,N/A,0,5,0
diag/max_pairwise_cosine_sim,more,0.06722756773,0.007511376656,5,0,0
diag/mean_pairwise_cosine_sim,moe,0.0290763117,0.003623953691,5,0,0
diag/mean_pairwise_cosine_sim,mor,N/A,N/A,0,5,0
diag/mean_pairwise_cosine_sim,more,0.0523470511,0.003643711561,5,0,0
dispatch/capacity_policy,moe,N/A,N/A,0,5,0
dispatch/capacity_policy,mor,N/A,N/A,0,5,0
dispatch/capacity_policy,more,N/A,N/A,0,5,0
dispatch/evals_per_token,moe,1,0,5,0,0
dispatch/evals_per_token,mor,1,0,5,0,0
dispatch/evals_per_token,more,1,0,5,0,0
dispatch/expert_evaluations,moe,134737920,0,5,0,0
dispatch/expert_evaluations,mor,875485355,82334154.92,5,0,0
dispatch/expert_evaluations,more,935059223.2,1644893.338,5,0,0
dispatch/experts_called_max,moe,6,0,5,0,0
dispatch/experts_called_max,mor,1,0,5,0,0
dispatch/experts_called_max,more,6,0,5,0,0
dispatch/max_load_fraction,moe,0.6858235717,0.06287620412,5,0,0
dispatch/max_load_fraction,mor,1,0,5,0,0
dispatch/max_load_fraction,more,0.5339637041,0.1293863994,5,0,0
dispatch/overflow_rate,moe,0,0,5,0,0
dispatch/overflow_rate,mor,0,0,5,0,0
dispatch/overflow_rate,more,0,0,5,0,0
dispatch/overflow_tokens,moe,0,0,5,0,0
dispatch/overflow_tokens,mor,0,0,5,0,0
dispatch/overflow_tokens,more,0,0,5,0,0
dispatch/router_noise,moe,N/A,N/A,0,5,0
dispatch/router_noise,mor,N/A,N/A,0,5,0
dispatch/router_noise,more,N/A,N/A,0,5,0
dispatch/router_noise_scale,moe,0,0,5,0,0
dispatch/router_noise_scale,mor,0,0,5,0,0
dispatch/router_noise_scale,more,0,0,5,0,0
dispatch/routing_mode,moe,N/A,N/A,0,5,0
dispatch/routing_mode,mor,N/A,N/A,0,5,0
dispatch/routing_mode,more,N/A,N/A,0,5,0
dispatch/tokens_dispatched,moe,134737920,0,5,0,0
dispatch/tokens_dispatched,mor,875485355,82334154.92,5,0,0
dispatch/tokens_dispatched,more,935059223.2,1644893.338,5,0,0
embedding_params,moe,2162688,0,5,0,0
embedding_params,mor,2162688,0,5,0,0
embedding_params,more,2162688,0,5,0,0
epoch,moe,3,0,5,0,0
epoch,mor,3,0,5,0,0
epoch,more,3,0,5,0,0
experiment_group,moe,N/A,N/A,0,5,0
experiment_group,mor,N/A,N/A,0,5,0
experiment_group,more,N/A,N/A,0,5,0
experiment_id,moe,N/A,N/A,0,5,0
experiment_id,mor,N/A,N/A,0,5,0
experiment_id,more,N/A,N/A,0,5,0
expert_load/expert_0_pct,moe,19.09115221,25.51568465,5,0,0
expert_load/expert_0_pct,mor,100,0,5,0,0
expert_load/expert_0_pct,more,16.48898304,5.58614205,5,0,0
expert_load/expert_1_pct,moe,24.76163242,24.03956606,5,0,0
expert_load/expert_1_pct,mor,N/A,N/A,0,5,0
expert_load/expert_1_pct,more,16.10378429,6.338012535,5,0,0
expert_load/expert_2_pct,moe,39.24295589,24.82496348,5,0,0
expert_load/expert_2_pct,mor,N/A,N/A,0,5,0
expert_load/expert_2_pct,more,19.81983811,5.438859905,5,0,0
expert_load/expert_3_pct,moe,6.166220289,4.826373466,5,0,0
expert_load/expert_3_pct,mor,N/A,N/A,0,5,0
expert_load/expert_3_pct,more,14.45576712,6.782005515,5,0,0
